Type;Question;Answer
drug;how long will suboxone block opioid;Suboxone typically lasts up to 3 days. Most doctors ask their patients to take the drug once per day, typically at the same time each day. A person’s weight, metabolism, and history of drug abuse can lengthen or shorten the action of Suboxone. It’s best to work with a doctor on a customized dose, based on your medical history.
drug;how to stop taking trazodone;Do not stop taking trazodone without talking to your doctor. If you suddenly stop taking trazodone, you may experience withdrawal symptoms such as anxiety, agitation, or difficulty falling asleep or staying asleep. Your doctor will probably decrease your dose gradually.
drug;does marijuana use lead to negative health outcomes?;Marijuana can cause problems with memory, learning, and behavior. Smoking it can cause some of the same coughing and breathing problems as smoking cigarettes. Some people get addicted to marijuana after using it for a while. It is more likely to happen if they use marijuana every day, or started using it when they were teenagers.
drug;blood pressure when on eliquis;Less common adverse reactions … Vascular disorders: hypotension (including procedural hypotension)
drug;what do i mix albuterol sulfate inhalation solution with in my nebulizer?;Albuterol sulfate inhalation solution is supplied as a single-dose, ready-to-use vial containing 3 mL of solution. No mixing or dilution is needed. Use one new vial with each nebulizer treatment.
drug;what color metoprolol;Product Characteristics Color WHITE Score 2 pieces Shape OVAL (Capsule-Shaped) Size 11mm Flavor Imprint Code M
drug;"tramadol ""milligrams?""";Adults (17 years of age and over): For patients with moderate to moderately severe chronic pain not requiring rapid onset of analgesic effect, the tolerability of tramadol hydrochloride can be improved by initiating therapy with a titration regimen. The total daily dose may be increased by 50 mg as tolerated every 3 days to reach 200 mg/day (50 mg q.i.d.). After titration, tramadol hydrochloride tablets 50 mg to 100 mg can be administered as needed for pain relief every four to six hours, not to exceed 400 mg per day.
drug;what ppis this medication for simvastatin;PPIs may modestly boost the statin-mediated LDL-C reduction.
drug;how to give insulin;Insulin comes as a solution (liquid) and a suspension (liquid with particles that will settle on standing) to be injected subcutaneously (under the skin). Insulin is usually injected several times a day … [whole section]
drug;how often do i get the pneumococcal conjugate vaccine;Vaccination Schedule for Adults 18 Years of Age and Older: Prevnar 13 is administered as a single dose.
drug;what are the active ingredients in bimatoprost;Active Ingredient/Active Moiety: Ingredient Name  bimatoprost (UNII: QXS94885MZ) (bimatoprost - UNII:QXS94885MZ)
drug;how does it take for strattera to begin to show some improvement;Some people report small changes in hyperactivity and impulse control within two weeks, but it may take 4 to 8 weeks for the drug to achieve maximum effectiveness.
drug;will citalopram exacerbate heart arrhythmias?;QT-Prolongation and Torsade de Pointes: Citalopram causes dose-dependent QTc prolongation, an ECG abnormality that has been associated with Torsade de Pointes (TdP), ventricular tachycardia, and sudden death, all of which have been observed in postmarketing reports for citalopram.... [whole subsection]
drug;what does marijuana look like;Marijuana is a green, brown, or gray mix of dried, crumbled parts from the marijuana plant.
drug;nitroglycerin how it works;The principal pharmacological action of nitroglycerin is relaxation of vascular smooth muscle and consequent dilatation of peripheral arteries and veins, especially the latter. Dilatation of the veins promotes peripheral pooling of blood and decreases venous return to the heart, thereby reducing left ventricular end-diastolic pressure and pulmonary capillary wedge pressure (preload). Arteriolar relaxation reduces systemic vascular resistance, systolic arterial pressure, and mean arterial pressure (afterload). Dilatation of the coronary arteries also occurs. The relative importance of preload reduction, afterload reduction, and coronary dilatation remains undefined.
drug;"what is an esi shot in the ""back?"" epidural steroids shot in the ""back?""";An epidural steroid injection (ESI) is a minimally invasive procedure that can help relieve neck, arm, back, and leg pain caused by inflamed spinal nerves due to spinal stenosis or disc herniation. Medicines are delivered to the epidural space, which is a fat-filled area between the bone and the protective sac of the spinal nerves.
drug;what is medication for singular 10 mg.;SINGULAIR is indicated for the prophylaxis and chronic treatment of asthma in adults and pediatric patients 12 months of age and older. SINGULAIR is indicated for prevention of exercise-induced bronchoconstriction in patients 15 years of age and older. SINGULAIR is indicated for the relief of symptoms of allergic rhinitis (seasonal allergic rhinitis in adults and pediatric patients 2 years of age and older, and perennial allergic rhinitis in adults and pediatric patients 6 months of age and older).
drug;diclofenac sodium, 75 mg. how much is to much;Diclofenac sodium may be administered as 25 mg, 50 mg, or 75 mg delayed-release tablets. Regardless of the indication, the dosage of diclofenac should be individualized to the lowest effective dose to minimize adverse effects (see CLINICAL PHARMACOLOGY: Individualization of Dosage). Osteoarthritis: The recommended dosage is 100 to 150 mg/day in divided doses, 50 mg b.i.d. or t.i.d. or 75 mg b.i.d. Dosages above 150 mg/day have not been studied in patients with osteoarthritis. Rheumatoid Arthritis: The recommended dosage is 150 to 200 mg/day in divided doses, 50 mg t.i.d. or q.i.d., or 75 mg b.i.d. Dosages above 225 mg/day are not recommended in patients with rheumatoid arthritis. Ankylosing Spondylitis: The recommended dosage is 100 to 125 mg/day, administered as 25 mg q.i.d., with an extra 25 mg dose at bedtime if necessary. Dosages above 125 mg/day have not been studied in patients with ankylosing spondylitis.
drug;what upis this medication for simvastatin;No Answers
drug;"any ""side effects"" when stop taking clopidogrel";Discontinuation of clopidogrel bisulfate increases the risk of cardiovascular events. If clopidogrel must be temporarily discontinued (e.g., to treat bleeding or for surgery with a major risk of bleeding), restart it as soon as possible. When possible, interrupt therapy with clopidogrel for five days prior to such surgery. Resume clopidogrel as soon as hemostasis is achieved.
drug;can hormonal contraceptives be used for medical reasons?;Medical Uses of the Birth Control Pill … [whole page]
drug;what opioid is in the bupropion patch;Active Ingredient/Active Moiety: Ingredient Name buprenorphine (UNII: 40D3SCR4GZ) (buprenorphine - UNII:40D3SCR4GZ)
drug;what is nicoderm;reduces withdrawal symptoms, including nicotine craving, associated with quitting smoking
drug;if wanting to change from duragesic patch to oxycontin how are doseages compared;Based on TDF patch strength, calculate oral morphine equivalent (or other opioid equivalent). If converting to oral morphine, use the 2 mg oral morphine/day ~ 1 mcg/h TDF rule
drug;what is fluoride;"The mineral fluoride occurs naturally on earth and is released from rocks into the soil, water, and air. All water contains some fluoride. Usually, the fluoride level in water is not enough to prevent tooth decay; however, some groundwater and natural springs can have naturally high levels of fluoride. Fluoride has been proven to protect teeth from decay. Bacteria in the mouth produce acid when a person eats sugary foods. This acid eats away minerals from the tooth’s surface, making the tooth weaker and increasing the chance of developing cavities. Fluoride helps to rebuild and strengthen the tooth’s surface, or enamel. Water fluoridation prevents tooth decay by providing frequent and consistent contact with low levels of fluoride. By keeping the tooth strong and solid, fluoride stops cavities from forming and can even rebuild the tooth’s surface."
drug;why is losartin prescribed rather than a calcium channel blocker.;Losartan is in a class of medications called angiotensin II receptor antagonists. It works by blocking the action of certain natural substances that tighten the blood vessels, allowing the blood to flow more smoothly and the heart to pump more efficiently.
drug;when used as a rinse, how big should the amount of lidocaineof lidocaine used;Lidocaine viscous comes as a thick liquid and should be shaken well before using. Lidocaine viscous usually is used as needed but not more frequently than every 3 hours, with a maximum of 8 doses in 24 hours. In children under 3 years of age, do not use more frequently than every 3 hours, with a maximum of 4 doses in 12 hours. Follow the directions on your prescription label carefully, and ask your doctor or pharmacist to explain any part you do not understand. Use lidocaine exactly as directed. Do not use more or less of it or use it more often than prescribed by your doctor.
drug;is it safe to add peppermint essential oil in mouthwash?;Peppermint oil appears to be safe when taken orally (by mouth) in the doses commonly used. Excessive doses of peppermint oil can be toxic.     Possible side effects of peppermint oil include allergic reactions and heartburn. Capsules containing peppermint oil are often enteric-coated to reduce the likelihood of heartburn. If enteric-coated peppermint oil capsules are taken at the same time as antacids, the coating can break down too quickly.     Like other essential oils, peppermint oil is highly concentrated. When the undiluted essential oil is used for health purposes, only a few drops are used.     Side effects of applying peppermint oil to the skin can include skin rashes and irritation. Peppermint oil should not be applied to the face or chest of infants or young children because serious side effects may occur if they inhale the menthol in the oil.     No harmful effects of peppermint leaf tea have been reported. However, the long-term safety of consuming large amounts of peppermint leaf is unknown.
drug;how to identify clonidine tablets;"Product Characteristics Color WHITE Score no score Shape ROUND (biconvex) Size 6mm Flavor Imprint Code A;16"
drug;enoxaparin shot admin they injected into my kidney what will i do;"If patients have had neuraxial anesthesia or spinal puncture, and particularly, if they are taking concomitant NSAIDs, platelet inhibitors, or other anticoagulants, they should be informed to watch for signs and symptoms of spinal or epidural hematoma, such as tingling, numbness (especially in the lower limbs) and muscular weakness. If any of these symptoms occur the patient should contact his or her physician immediately.  Additionally, the use of aspirin and other NSAID's may enhance the risk of hemorrhage. Their use should be discontinued prior to enoxaparin therapy whenever possible; if co-administration is essential, the patient's clinical and laboratory status should be closely monitored [see Drug Interactions (7)].  Patients should also be informed:      of the instructions for injecting Enoxaparin Sodium Injection if their therapy is to continue after discharge from the hospitals.     it may take them longer than usual to stop bleeding.     they may bruise and/or bleed more easily when they are treated with Enoxaparin Sodium Injection.     they should report any unusual bleeding, bruising, or signs of thrombocytopenia (such as a rash of dark red spots under the skin) to their physician [see Warnings and Precautions (5.1, 5.5)].     to tell their physicians and dentists they are taking Enoxaparin Sodium Injection and/or any other product known to affect bleeding before any surgery is scheduled and before any new drug is taken [see Warnings and Precautions (5.3)].     to tell their physicians and dentists of all medications they are taking, including those obtained without a prescription, such as aspirin or other NSAID's [see Drug Interactions (7)]."
drug;what is marijuana;Marijuana is a green, brown, or gray mix of dried, crumbled parts from the marijuana plant.
drug;how to safely stop taking anastrozole;A study has found that postmenopausal women who stop taking hormonal therapy early or skip doses are much more likely to have a breast cancer recurrence than women who take hormonal therapy as prescribed.
drug;vitamin d 15000,what can do for bones;Vitamin D helps your body absorb calcium. Calcium is one of the main building blocks of bone. A lack of vitamin D can lead to bone diseases such as osteoporosis or rickets. Vitamin D also has a role in your nerve, muscle, and immune systems.
drug;metformin after dinner and bed time?;Metformin hydrochloride extended-release tablets, USP should generally be given once daily with the evening meal.
drug;what is cortisol;Cortisol is a steroid hormone, in the glucocorticoid class of hormones. When used as a medication, it is known as hydrocortisone. It is produced in humans by the zona fasciculata of the adrenal cortex within the adrenal gland.[1] It is released in response to stress and low blood-glucose concentration. It functions to increase blood sugar through gluconeogenesis, to suppress the immune system, and to aid in the metabolism of fat, protein, and carbohydrates.[2] It also decreases bone formation.[3]
drug;effects of salt of epson to diabetes?;While Epsom salt baths can be relaxing, they are not recommended for people with diabetes. Epsom salt is made up of magnesium sulfate. Why does that matter? When Epsom salts are added to a warm bath, some magnesium can be absorbed through the skin, causing an increased release of insulin, leading to hypoglycemia (low blood sugar).
drug;1 mg ativan ccis a small does of ativan for adults?;Ativan (lorazepam) is administered orally. For optimal results, dose, frequency of administration, and duration of therapy should be individualized according to patient response. To facilitate this, 0.5 mg, 1 mg, and 2 mg tablets are available. The usual range is 2 to 6 mg/day given in divided doses, the largest dose being taken before bedtime, but the daily dosage may vary from 1 to 10 mg/day. For anxiety, most patients require an initial dose of 2 to 3 mg/day given two times a day or three times a day. For insomnia due to anxiety or transient situational stress, a single daily dose of 2 to 4 mg may be given, usually at bedtime. For elderly or debilitated patients, an initial dosage of 1 to 2 mg/day in divided doses is recommended, to be adjusted as needed and tolerated. The dosage of Ativan (lorazepam) should be increased gradually when needed to help avoid adverse effects. When higher dosage is indicated, the evening dose should be increased before the daytime doses.
drug;"what help withdrawal ""fom."" hydrocodone 10 325";Narcotics Anonymous (N.A.) assists people who want to stop abusing prescription or illegal drugs. Find a meeting center or online support group by searching for the local helpline or website for the area where the meeting is located.
drug;what is prochlorperazine;"For control of severe nausea and vomiting. 
For the treatment of schizophrenia.

Prochlorperazine is effective for the short-term treatment of generalized non-psychotic anxiety. However, prochlorperazine is not the first drug to be used in therapy for most patients with non-psychotic anxiety, because certain risks associated with its use are not shared by common alternative treatments (e.g., benzodiazepines).

When used in the treatment of non-psychotic anxiety, prochlorperazine should not be administered at doses of more than 20 mg per day or for longer than 12 weeks, because the use of prochlorperazine at higher doses or for longer intervals may cause persistent tardive dyskinesia that may prove irreversible (see WARNINGS).

The effectiveness of prochlorperazine as treatment for non-psychotic anxiety was established in 4-week clinical studies of outpatients with generalized anxiety disorder. This evidence does not predict that prochlorperazine will be useful in patients with other non-psychotic conditions in which anxiety, or signs that mimic anxiety, are found (e.g., physical illness, organic mental conditions, agitated depression, character pathologies, etc.).

Prochlorperazine has not been shown effective in the management of behavioral complications in patients with mental retardation."
drug;what does valacyclovir 1gm cure?;"Valacyclovir tablets, USP are a prescription antiviral medicine. Valacyclovir tablets, USP lower the ability of herpes viruses to multiply in your body.

Valacyclovir tablets, USP are used in adults:

to treat cold sores (also called fever blisters or herpes labialis)
to treat shingles (also called herpes zoster)
to treat or control genital herpes outbreaks in adults with normal immune systems
to control genital herpes outbreaks in adults infected with the human immunodeficiency virus (HIV) with CD4 + cell count greater than 100 cells/mm3
with safer sex practices to lower the chances of spreading genital herpes to others. Even with safer sex practices, it is still possible to spread genital herpes.
Valacyclovir tablets, USP used daily with the following safer sex practices can lower the chances of passing genital herpes to your partner.

Do not have sexual contact with your partner when you have any symptom or outbreak of genital herpes.
Use a condom made of latex or polyurethane whenever you have sexual contact.
Valacyclovir tablets, USP are used in children:

to treat cold sores (for children ≥ 12 years of age)
to treat chickenpox (for children 2 to < 18 years of age)."
drug;methotrexate how many milligrams for psoriatic arthritis;"Psoriasis
Recommended Starting Dose Schedules

1. Weekly single oral, IM or IV dose schedule: 10 to 25 mg per week until adequate response is achieved.

2. Divided oral dose schedule: 2.5 mg at 12 hour intervals for three doses.

Dosages in each schedule may be gradually adjusted to achieve optimal clinical response; 30 mg/week should not ordinarily be exceeded.

Once optimal clinical response has been achieved, each dosage schedule should be reduced to the lowest possible amount of drug and to the longest possible rest period. The use of methotrexate may permit the return to conventional topical therapy, which should be encouraged."
drug;how long can i take raloxifene;the Raloxifene Use for The Heart (RUTH) trial, that evaluated as primary endpoint the effect of raloxifene on cardiovascular events in 10,101 postmenopausal women for a median of 5.6 years (mean age 67.5 years), clearly demonstrates the benefits of raloxifene in older women in the prevention of clinical vertebral fracture (−35%, p = 0.007), but not for nonvertebral fractures (p > 0.05 versus placebo), irrespective of presence or absence of risk factors for fracture.48,49
drug;is it safe to take toradol when breast feeding;"Nursing Mothers
Limited data from one published study involving 10 breastfeeding women 2 to 6 days postpartum showed low levels of ketorolac in breast milk. Levels were undetectable (less than 5 ng/mL) in 4 of the patients. After a single administration of 10 mg of ketorolac tromethamine tablets, the maximum milk concentration observed was 7.3 ng/mL, and the maximum milk-to-plasma ratio was 0.037. After 1 day of dosing (10 mg every 6 hours), the maximum milk concentration was 7.9 ng/mL, and the maximum milk-to-plasma ratio was 0.025. Assuming a daily intake of 400 to 1,000 mL of human milk per day and a maternal body weight of 60 kg, the calculated maximum daily infant exposure was 0.00263 mg/kg/day, which is 0.4% of the maternal weight-adjusted dose.

Exercise caution when ketorolac is administered to a nursing woman. Available information has not shown any specific adverse events in nursing infants; however, instruct patients to contact their infant's health care provider if they note any adverse events."
drug;"oxycodone hcl 5 mg & oxycodone ""10-325"" apap the same?";"PERCOCET - oxycodone hydrochloride and acetaminophen tablet. Each tablet, for oral administration, contains oxycodone hydrochloride and acetaminophen in the following strengths: Oxycodone Hydrochloride, USP          10 mg*
Acetaminophen, USP         325 mg
*10 mg oxycodone HCl is equivalent to 8.9637 mg of oxycodone."
drug;how do beta blockers work;"Beta blockers, also known as beta-adrenergic blocking agents, are medications that reduce your blood pressure. Beta blockers work by blocking the effects of the hormone epinephrine, also known as adrenaline.

When you take beta blockers, your heart beats more slowly and with less force, thereby reducing blood pressure. Beta blockers also help blood vessels open up to improve blood flow."
drug;what is contraindication of carbamazepine;"Carbamazepine should not be used in patients with a history of previous bone marrow depression, hypersensitivity to the drug, or known sensitivity to any of the tricyclic compounds, such as amitriptyline, desipramine, imipramine, protriptyline, nortriptyline, etc. Likewise, on theoretical grounds its use with monoamine oxidase (MAO) inhibitors is not recommended. Before administration of carbamazepine, MAO inhibitors should be discontinued for a minimum of 14 days, or longer if the clinical situation permits.

Coadministration of carbamazepine and nefazodone may result in insufficient plasma concentrations of nefazodone and its active metabolite to achieve a therapeutic effect. Coadministration of carbamazepine with nefazodone is contraindicated."
drug;what is docusate sodium;Stool softener
drug;what valacyclovir looks like;Color blue Shape CAPSULE Size 17mm
drug;what is insulin glucagon;Glucagon for Injection is a polypeptide hormone identical to human glucagon that increases blood glucose and relaxes smooth muscle of the gastrointestinal tract.
drug;what milligrams the allopurinol;The dosage of allopurinol tablets USP to accomplish full control of gout and to lower serum uric acid to normal or near-normal levels varies with the severity of the disease. The average is 200 to 300 mg/day for patients with mild gout and 400 to 600 mg/day for those with moderately severe tophaceous gout. The appropriate dosage may be administered in divided doses or as a single equivalent dose with the 300-mg tablet. Dosage requirements in excess of 300 mg should be administered in divided doses. The minimal effective dosage is 100 to 200 mg daily and the maximal recommended dosage is 800 mg daily. To reduce the possibility of flare-up of acute gouty attacks, it is recommended that the patient start with a low dose of allopurinol tablets USP (100 mg daily) and increase at weekly intervals by 100 mg until a serum uric acid level of 6 mg/dL or less is attained but without exceeding the maximal recommended dosage.
drug;how long itching lasts after stopping doxycycline;"Doxycycline is virtually completely absorbed after oral administration.

Following a 200 mg dose, normal adult volunteers averaged peak serum levels of 2.6 mcg/mL of doxycycline at 2 hours, decreasing to 1.45 mcg/mL at 24 hours. Excretion of doxycycline by the kidney is about 40%/72 hours in individuals with normal function (creatinine clearance about 75 mL/min.). This percentage excretion may fall as low as 1–5%/72 hours in individuals with severe renal insufficiency (creatinine clearance below 10 mL/min.). Studies have shown no significant difference in serum half-life of doxycycline (range 18–22 hours) in individuals with normal and severely impaired renal function."
drug;"why ""shouldn't"" i take gemfibrozil while taking lovastatin?";"Strong inhibitors of CYP3A4: Lovastatin, like several other inhibitors of HMG-CoA reductase, is a substrate of cytochrome P450 3A4 (CYP3A4). Certain drugs which inhibit this metabolic pathway can raise the plasma levels of lovastatin and may increase the risk of myopathy. These include itraconazole, ketoconazole, posaconazole, voriconazole, the macrolide antibiotics erythromycin and clarithromycin, the ketolide antibiotic telithromycin, HIV protease inhibitors, boceprevir, telaprevir, the antidepressant nefazodone, or cobicistat-containing products. Combination of these drugs with lovastatin is contraindicated. If short-term treatment with strong CYP3A4 inhibitors is unavoidable, therapy with lovastatin should be suspended during the course of treatment (see CONTRAINDICATIONS; PRECAUTIONS, DRUG INTERACTIONS).

Gemfibrozil: The combined use of lovastatin with gemfibrozil should be avoided.

Other lipid-lowering drugs (other fibrates or greater than or equal to 1 g/day of niacin): Caution should be used when prescribing other fibrates or lipid-lowering doses (greater than or equal to 1 g/day) of niacin with lovastatin, as these agents can cause myopathy when given alone. The benefit of further alterations in lipid levels by the combined use of lovastatin with other fibrates or niacin should be carefully weighed against the potential risks of these combinations."
drug;prevnar >65?;CDC recommends PCV13 for use in infants and young children and adults 65 years or older. Older children and adults younger than 65 years old who are at increased risk for getting pneumococcal disease may also need a dose of PCV13.
drug;how is cyanocobalamin adminitsered;Cyanocobalamin Injection, USP is a sterile solution of cyanocobalamin for intramuscular or subcutaneous injection. Each mL contains 1000 mcg cyanocobalamin.
drug;how dextroamphetamine works;"Dextroamphetamine is used as part of a treatment program to control symptoms of attention deficit hyperactivity disorder (ADHD; more difficulty focusing, controlling actions, and remaining still or quiet than other people who are the same age) in adults and children. Dextroamphetamine is also used to treat narcolepsy (a sleep disorder that causes excessive daytime sleepiness and sudden attacks of sleep). Dextroamphetamine is in a class of medications called central nervous system stimulants. It works by changing the amounts of certain natural substances in the brain."
drug;what is beta vulgaris;"Beetroot or beet juice
Beets and beet juice are among the best food sources of nitrate. Beet juice might improve athletic performance because the body converts some of this nitrate to nitric oxide, which expands blood vessels. This blood vessel expansion increases blood flow and the delivery of oxygen and nutrients to exercising muscle. The expanded blood vessels also speed up the removal of waste products that cause muscle fatigue."
drug;"if ""i'm"" allergic to penicillin can i take ""amoxicillin?""";A history of allergic reaction to any of the penicillins is a contraindication.
drug;what milagrams olanzapine come in;"Olanzapine Tablets USP, 20 mg are white, film coated, oval, biconvex tablets with “R” 20
debossed on one side and “0168” on other side."
drug;how many milligrams of aceitomohen in a bottle of acetaminophen with codeine;"Acetaminophen and Codeine Phosphate Tablets 300 mg/30 mg are white, round, flat-faced, beveled edge, scored (bisect bar) tablets, debossed ""2064"" and ""V"" on one side and debossed ""3"" on the reverse side. They are supplied in bottles of 30, 50, 60, 90, 100, 120, 180, 500 and 1000."
drug;what medications can you not take with grapefruit;"Here are examples of some types of drugs that grapefruit juice can cause problems with (interact):

Some statin drugs to lower cholesterol, such as Zocor (simvastatin) and Lipitor (atorvastatin).
Some drugs that treat high blood pressure, such as Procardia and Adalat CC (both nifedipine).
Some organ-transplant rejection drugs, such as Sandimmune and Neoral (both cyclosporine).
Some anti-anxiety drugs, such as buspirone.
Some corticosteroids that treat Crohn’s disease or ulcerative colitis, such as Entocort EC and Uceris (both budesonide).
Some drugs that treat abnormal heart rhythms, such as Pacerone and Nexterone (both amiodarone).
Some antihistamines, such as Allegra (fexofenadine)."
drug;nitrofurantoin generic for?;"Furadantin® Tablets¶
Furadantin® Oral Suspension
Furalan®¶
Macrobid®
Macrodantin®"
drug;"mouth wash"" with salt water -how much salt to ""water?";Rinse your mouth with salt water (one-half teaspoon or 3 grams of salt in 1 cup or 240 milliliters of water) or mouthwashes with hydrogen peroxide or Xylocaine to ease discomfort.
drug;what is vancomycin;"Vancomycin injection is used alone or in combination with other medications to treat certain serious infections such as endocarditis (infection of the heart lining and valves), peritonitis (inflammation of the lining of the abdomen), and infections of the lungs, skin, blood, and bones. Vancomycin injection is in a class of medications called glycopeptide antibiotics. It works by killing bacteria that cause infections.

Antibiotics such as vancomycin injection will not work for colds, flu, or other viral infections. Taking or using antibiotics when they are not needed increases your risk of getting an infection later that resists antibiotic treatment."
drug;at what point do i no longer need cyanocobalamin injection?;"Cyanocobalamin comes as a solution (liquid) to be injected into a muscle or just under the skin. It is usually injected by a healthcare provider in an office or clinic. You will probably receive cyanocobalamin injection once a day for the first 6-7 days of your treatment. As your red blood cells return to normal, you will probably receive the medication every other day for 2 weeks, and then every 3-4 days for 2-3 weeks. After your anemia has been treated, you will probably receive the medication once a month to prevent your symptoms from coming back.

Cyanocobalamin injection will supply you with enough vitamin B12 only as long as you receive injections regularly. You may receive cyanocobalamin injections every month for the rest of your life. Keep all appointments to receive cyanocobalamin injections even if you feel well. If you stop receiving cyanocobalamin injections, your anemia may return and your nerves may be damaged."
drug;amiodarone for afibwhat are side effects;"Adverse reactions have been very common in virtually all series of patients treated with amiodarone for ventricular arrhythmias with relatively large doses of drug (400 mg/day and above), occurring in about three-fourths of all patients and causing discontinuation in 7 to 18%. The most serious reactions are pulmonary toxicity, exacerbation of arrhythmia, and rare serious liver injury (see “WARNINGS”), but other adverse effects constitute important problems. They are often reversible with dose reduction or cessation of amiodarone treatment. Most of the adverse effects appear to become more frequent with continued treatment beyond six months, although rates appear to remain relatively constant beyond one year. The time and dose relationships of adverse effects are under continued study.

Neurologic problems are extremely common, occurring in 20 to 40% of patients and including malaise and fatigue, tremor and involuntary movements, poor coordination and gait, and peripheral neuropathy; they are rarely a reason to stop therapy and may respond to dose reductions or discontinuation (see “PRECAUTIONS”). There have been spontaneous reports of demyelinating polyneuropathy.

Gastrointestinal complaints, most commonly nausea, vomiting, constipation, and anorexia, occur in about 25% of patients but rarely require discontinuation of drug. These commonly occur during high-dose administration (i.e., loading dose) and usually respond to dose reduction or divided doses.

Ophthalmic abnormalities including optic neuropathy and/or optic neuritis, in some cases progressing to permanent blindness, papilledema, corneal degeneration, photosensitivity, eye discomfort, scotoma, lens opacities, and macular degeneration have been reported (see “WARNINGS”).

Asymptomatic corneal microdeposits are present in virtually all adult patients who have been on drug for more than 6 months. Some patients develop eye symptoms of halos, photophobia, and dry eyes. Vision is rarely affected and drug discontinuation is rarely needed.

Dermatological adverse reactions occur in about 15% of patients, with photosensitivity being most common (about 10%). Sunscreen and protection from sun exposure may be helpful, and drug discontinuation is not usually necessary. Prolonged exposure to amiodarone occasionally results in a blue-gray pigmentation. This is slowly and occasionally incompletely reversible on discontinuation of drug but is of cosmetic importance only.

Cardiovascular adverse reactions, other than exacerbation of the arrhythmias, include the uncommon occurrence of congestive heart failure (3%) and bradycardia. Bradycardia usually responds to dosage reduction but may require a pacemaker for control. CHF rarely requires drug discontinuation. Cardiac conduction abnormalities occur infrequently and are reversible on discontinuation of drug."
drug;"are you mentally ""i'll"" when you ""take fluoxetine?""";"Fluoxetine (Prozac) is used to treat depression, obsessive-compulsive disorder (bothersome thoughts that won't go away and the need to perform certain actions over and over), some eating disorders, and panic attacks (sudden, unexpected attacks of extreme fear and worry about these attacks). Fluoxetine (Sarafem) is used to relieve the symptoms of premenstrual dysphoric disorder, including mood swings, irritability, bloating, and breast tenderness. It is also used along with olanzapine (Zyprexa) to treat depression that did not respond to other medications and episodes of depression in people with bipolar I disorder (manic-depressive disorder; a disease that causes episodes of depression, episodes of mania, and other abnormal moods)."
drug;how to use lantus solostar insulin pen;"Important Administration Instructions
Administer LANTUS subcutaneously once daily at any time of day but at the same time every day.
Prior to initiation of LANTUS, train patients on proper use and injection technique.
Patient should follow the Instructions for Use to correctly administer LANTUS.
Administer LANTUS subcutaneously into the abdominal area, thigh, or deltoid, and rotate injection sites within the same region from one injection to the next to reduce the risk of lipodystrophy [see ADVERSE REACTIONS (6.1)].
Visually inspect LANTUS vials and SoloStar prefilled pens for particulate matter and discoloration prior to administration. Only use if the solution is clear and colorless with no visible particles.
Refrigerate unused (unopened) LANTUS vials and SoloStar® prefilled pens.
Do not administer intravenously or via an insulin pump.
Do not dilute or mix LANTUS with any other insulin or solution.
The SoloStar prefilled pen is for single patient use only"
drug;what are the dosage strengths of sildenafil;"Sildenafil Tablets

White, film-coated, round tablets engraved with SDF20 containing sildenafil citrate equivalent to 20 mg of sildenafil."
drug;"how long should i take cipro for a urinary tract infection ""?""";Urinary Tract Infections: 250–500 mg every 12 hours for 7 to 14 days
drug;how to stop using estradiol patch;"Attempts to taper or discontinue the medication should be made at 3 to 6 month intervals.

Estradiol transdermal system (twice-weekly) may be given continuously in patients who do not have an intact uterus. In those patients with an intact uterus, estradiol transdermal system (twice-weekly) may be given on a cyclic schedule (for example, 3 weeks on drug followed by 1 week off drug)."
drug;how much penicillin to treat strep throat for adult;"The usual dosage recommendations for adults and children 12 years and over are as follows:

Streptococcal Infections
Mild to moderately severe – of the upper respiratory tract and including scarlet fever and erysipelas: 125 to 250 mg (200,000 to 400,000 units) every 6 to 8 hours for 10 days."
drug;what class is diazepam;Diazepam is a benzodiazepine that exerts anxiolytic, sedative, muscle-relaxant, anticonvulsant and amnestic effects.
drug;is estradiol transdermal patch bio-identical estrogen?;"Estradiol transdermal system (twice-weekly) is an estrogen indicated for:
•Treatment of moderate to severe vasomotor symptoms due to menopause ( 1.1)
•Treatment of moderate to severe symptoms of vulvar and vaginal atrophy due to menopause"
drug;how to reduce bisoprolol;"Cessation of Therapy
If withdrawal of bisoprolol fumarate and hydrochlorothiazide therapy is planned, it should be achieved gradually over a period of about 2 weeks."
drug;what does prednisone do to the body;Prednisone is in a class of medications called corticosteroids. It works to treat patients with low levels of corticosteroids by replacing steroids that are normally produced naturally by the body. It works to treat other conditions by reducing swelling and redness and by changing the way the immune system works.
