女 听过别人最多的议论就是干啥啥不行不长心眼没有脑子;这样的议论是针对谁呢？
孩子上初中，什么都不想写，写作业能在那待一天，特别懒怎么办！;写作业特别慢，是吗
男,为什么我觉得我自己很多疑，就是一件很简单的事情我会想的很多;你很敏感，自信不足时容易怀疑他人。
男,为什么一个人会不知道自己想要什么，这是一种什么样样的心理。;你为什么要思考这个问题呢
由于女方出轨，丈夫要求离婚，女方希望能够挽回，希望老师帮帮我;晚上好
女,怎样让自己走出抑郁 想法不要那么多 因为想多了 觉得生活没意思;思想简单。生活就美好了。
女 梦梦梦到神要报应，自己觉得被鬼神附体，心神不定，寝食难安。;你多大？你区分现实和梦境吗？
如果可以放肆一次，我想抢银行，心理装假们，你们觉得我该怎么办;说说你心里有怎样的不舒服？
学习成绩越来越差，感觉现在已经找不到学习的动力了，怎么办？？;我今天刚处理一个高二学生的学习无动力的问题
男,32岁,我和我老婆吵架后有第三者插足，我要怎样才能保卫我的家庭;感情怎么样？
男 我啊的爸爸，炒股入迷，谁说也你不听，您帮帮忙，求您了谢谢。;你想要？
女,29岁,婚姻，两岸婚姻，撑不下去了，应该都有感情的，家人的相处;可以打字聊吗
我今年30岁脑鸣血压高，容易激动，老是怀疑自己有什么大病，怎么办;请问你是否比较敏感多疑，缺乏安全感呢
男,33岁,请问离婚后越来越悲观抑郁，心理康复应该咨询哪位咨询师？;我可以咨询你的问题
最近总想打屁股针，请问专家有什么办法让我打几针很痛的屁股针呢？;你真勇敢
害怕自己神经系统出现问题，总是去想一些不切实际的问题该怎么办？;点击我的头像加关注，电话咨询
想考公务员，可是什么也不知道，明知道自己考不上还要不要试试了？;嗯
我是学生，老和父母吵架，学习压力大，我很想去死，我应该怎么办。;压力大，和死没有多大关系
离婚需要那些手续，我都分居一年多没在一起了，起诉能不能判离婚呢;你这个问题问律师会比较清楚。
大家新年快乐！心想事成！各位老师平安幸福！和和美美！甜甜蜜蜜！;新年快乐！
女,18岁,因为我的作和任性而分手了，感到很后悔，一直找他他嫌我烦了;点击我的头像加关注，电话咨询
女,性格不合适，在一起老是吵架，没办法选择离婚，各自都是一种解脱;结婚多久了
女,我有个问题，有个问题，有个问题，有个问题，有个问题，有个问题;我父母是农民，从小养我哥和我非常不容易，一直省吃俭用，我哥上完中专就不上学啦，我上完大学，现在毕业2年的时间，我哥今年30岁啦，我妈寻思给他买房子结婚，家里没有多少钱，去年我拿啦12万给我哥买房子，房产名写的他，家里没有多少钱啦，今年我爸得啦肺癌晚期，家里已经又花啦10多万，没有什么钱，我哥着急结婚，又管家里要钱，家里就剩4万，想给我爸治病，我哥对我爸生病的态度就是放弃治疗，觉得花钱不值得，我爸生病他没有拿过一分钱，也不出力，我爸生病我话啦6万多，然后我哥现在的态度，就是这个房子他一点不领情，它让我们住
男，30 总感觉自己性生活不和谐！结婚三年了，近一年总觉得不如意！;点击我头像加关注选择图文咨询，涉及私密话题，退到一对一界面私聊
一个陌生人，加我Qq，说让我替他，跟我的朋友说谢谢，怎么理解这件事;给点意见呗，谢谢
我们现在离婚了，但是还住一起，他写了这段话，是什么意思。我想复婚;谁能告诉我
一朋友过生日，别人上午送礼，我下午送礼，别人以为我没送，对我冷目;咋办
男,夫妻上诉离婚 一审判决为准予离婚期间 男方再次恋爱 属于过错方嘛;判决书生效了没？
女 我的婚姻出现第三者，老公执意不回头，亲朋好友说的话都听不进去;你老公是要离婚吗
怎么办，不想分手，好想他。可他说我们之间不可能了，可是我不想分。;你这么依赖他 通常说配不上他。。你的问题在 哪里。
现女友和她前男友同居过，心里有点过不了这个坎，但我又想和她在一起;她是你初恋吗？
问什么一看见别人秀恩爱就心烦      ，，，，，，，，，，，，，，，，;你多大了？
你好人特特特Verreyt唐人游突然又让他让她也太容易太阳太容易太阳太容易;在吗
睡不着觉 不想吃饭 对任何事情提不起兴趣 脾气暴躁  讨厌和任何人讲话;这种情况有多长时间了？
飞鸟相与还，，，，，，，，，，，，，，，，，，，，，，，，，，，;有什么可以帮您的
村委会没有通过村民大会是否有权把村集体禁林风景区给别村拓宽马路？;要看一下禁林风景区的性质？如果是村民集体所有，并不是属于规划范围内，应该经过村民大会
男 上初一，学习压力大，晚上老是想到有作业没写，就睡不着，怎么办？;时间管理，做好规划
女 您好，从小父母吵架，家庭充满暴力，春节回家很压抑，该如何解决。;看你怎么看待暴力
女,26岁,昨天和老公吵架了，谈到离婚这个词了，但是为了孩子我不想离婚;气话
男 心里老是胡思乱想，老是害怕自己家人得癌症，控制不住想怎么办好烦;中午好
问下11月份交进去了社保，可以享受医保还是一定要连续交满六个月才享受;这个问题不是心理问题。
请问婚外情，哪位老师擅长？尤其是婚外情心理的纠结的？不需要劝分的。;怎么回事？亲
女,你好，请问掉发严重怎么办？09年开始掉，今年发现毛囊坏死，头皮多！;你情绪状态如何？
不知道怎么说，我对老公没有感情，可是现在有个九个月的宝宝应该怎么办;第一次用这个不太会用
现在工作中压力大的人越来越多，想学习解决职场压力，需要看什么书籍？;最好通过专业咨询进行合理指导
为什么传销对人的心理干预那么大，怎么客服传销女欺骗感情所带来的伤害;其实，她给你种下了某种信念！
我想问个问题，如果一个人微信或者Qq换头像是什么意思。头像都是自己的;呵呵
结婚七年了，老公没有上进心，收入不高，但对我还挺好，我很想离婚怎么;请问对老公还有感情吗
分手半年了她回来找过我一次，我就是忘不了每天梦到她，都快把自己逼疯;点关注，图文咨询
结婚半年多了，心里老想离婚，我们是相亲认识的，从认识到结婚四个月，;点击我的头像加关注，电话咨询
由于一年内打过两次胎现在胃稍微有点不舒服恶心就乱想，害怕自己再怀孕;可以采取措施呀
女,我的软件怎么发不出消息了，我无法和我的老师交流了，老师你能看到嘛;现在好了
我不喜欢他，但是他对我很好，心里总是反感他 ，我到底该不该和他在一起;就凭你这么一句话无法回答你
女,离婚，男方是现役军人已同意离婚，有一套婚后男方出资购买的按揭房子;你们可以协议离婚，具体建议购买律师服务咨询或电话咨询
女 爱上金牛座男，可是他慢热型，忽冷忽热，不知道他到底喜欢不喜欢我？;你们相处多长时间了？
男,40岁,女朋友老是对我发脾气，老是拒绝进一步交往，不理人，一两又好了;你单身？她单身？
男,我是二婚，刚刚结婚不久发现老婆与前夫，男朋友，保持着良好的联系。;什么感觉呢？
昨天晚上一点多的时候，有人砸我家的防盗门，砸了好长时间，说是送外卖的;你叫外卖了吗？
我是一名高三的学生，学习挺努力的，可是为什么成绩总是上不去，特别着急;嗯
分手一个月了，今天刚好一个月，该不该找他问清楚自己对这段感情的疑惑？;为什么有这种想法呢？
现在的心理咨询真的有用吗我好像只是看到了一些只在乎自己的利益的人啊…;您能具体说说您的意思吗？心理咨询有效果，效果显著程度因人而异，和咨询师及来访者的努力和能力都有关系。
妻子和婆婆脾气合不来怎么办，两个人经常因为一点小事就大吵，我该怎么办;婆媳矛盾，是很普遍的现象，做老公的起桥梁作用很关键
我最觉得自己胖  吃饱饭就吐出来是不是心理作用    如果是心理作用如何摆脱;朋友，这种情况是一种潜意识焦虑，点击我的头像加关注，我可以帮助你！
你好，为什么心对什么都没感觉，喜怒哀乐都没有了感觉？心理是怎么回事？;学生吗
经常被同学欺负，感觉很苦恼，想报复他，想杀人，很无奈，不知道该怎么办;你多大了
我和一个关系不错的男生吵架了，他还骂我了，我想和他和好，我该怎么办，;嗯嗯
老公没有外遇，没有小三，却不想过日子，闹着要离婚，想自己单过，咋回事;结婚多久了
女,测试抑郁症，感觉生活迷茫，不知道为什么而活，没有动力，是不是抑郁症;暂时来看，有抑郁情绪。
想问个事。。。。。。。。。。为什么非要20字为什么非要20字为什么非要20字;你想咨询什么问题
男,一失足成千古恨，再回首是百年身。 一失足成千古恨，再回首是百年身。 ;人活一世3万多天，哪来的千古恨？
他烦我，但是心里还有我，我该怎么去挽留呢，明天就见面了，我该说些什么;今天见了，没聊完，就约好明天见
女,我23岁，老是觉得自己有病！觉得会不会得艾滋病，抑郁症什么的，怎么办;在吗
女 怎么应对那些所谓亲戚们的讽刺。别人比自己强了，各种讽刺怎么才能应对;最好的回击就是不理！
女 我现在上高中一年级，成绩在班中下等，一直提不上去，我不知道该怎么办;成绩上不去的原因，自己总结一下
女,如何提升自己的人缘，交到很多朋友。觉得自己以前人缘不太好想提升一下;不知您在和人交往的时候是如何做的呢？
女,在他的衣服兜里发现两张电影票，他和别的女生去看电影。我应该怎么办？;你近期有觉察你们感情变化吗？
我们下个周期末考试   我现在觉得自己什么都不会 做题错误率上升   该怎么办;几年级了？
女,十五岁 考前紧张 特别紧张那种 不管大考小考 手脚发凉 心跳加快 头晕眼花;你需要考前减压，最好做一下心理调节
男朋友一开始花25元买把游戏里的枪可以过了一天又要买100元的不知道该不该买;感觉您有些担心？
我找了一个对象，他对我很好，可是他知道我做过小姐，请问我们该不该在一起;他的态度是什么？
女,我和老公在一起6年了，分分合合很多次，这段时间一直在闹离婚，我很矛盾;是谁在闹离婚呢？
女 男朋友特别喜欢玩游戏  然后我和他分手了  现在还是很喜欢他  怎么办啊？;他除了玩游戏
我是一名初中生，今年已经在读初三。我有个坏习惯一直改不了，我改怎么办？;亲，什么情况?
感情最折磨的不是别离，而是感动的回忆让人很容易站在原地，以为还回得去。;理解你 重情重义的人啊。我们可以试着升华情感。让爱温暖我们。
前男友穿着我送给他的衣服来见我，又没说复合，他心里是不是已经接受我了呢;你们分手多久了，什么原因呢？
我喜欢看斜刘海女生！的发型，特别是她遮住眼睛的那一瞬间，我就喜欢夹腿！;可以直接和她私聊
我老婆怀孕了，每天吃两粒启维，每月打一针哈利多，这样对胎儿智力有影响吗;最好咨询专业医生！妇产科儿科医生！这里是心理咨询！
上课或自习课老跑神，想一些未来的事情，还控制不住。有什么方法可以解决吗;多大了？
女 我的家长总是说我考不上高中，我很烦，还没考他们为什么这样断定，我很烦;你不必烦恼，用实际说话就好
我爱上了有夫之妇，就算我们能结婚，但是我在意她的过去而很难过，怎么办？;点我关注，电话咨询。
女,总觉得老公对我不好，我们总吵架，一吵架就动手打我，他从来不承认错误，;暴力男，肯定不行。
女 老公现在非常绝决的提出离婚，并且己经搬出去了，因为之前出现了第三者。;你是怎么想的
本人男15岁，初三学生患上了强迫症，考试，上课都听不进去，请问我该怎么办？;做过治疗吗？
女,昨晚12点才睡，早上5点醒了，睡觉不安稳，心理老想着工作中的事情，真是烦;心里有什么事呢？
和公婆一起住，公婆和我相互不喜欢，但我和老公又没钱买房子，该怎么办？？？;你老公怎么面对婆媳矛盾
男友遇到困难，会接受我的帮助，就是不和我和好，是不是想让我知难而退。？？;说说具体惰况
女,我讨厌老人我讨厌老人我讨厌老人我讨厌老人我讨厌老人我讨厌老人我讨厌老人;你所指老人是指谁呢？
男。我睡觉时总是会想着尿尿，尿了之后没几分钟又会想着尿尿，从而导致失眠。;是不是心因性尿频？
老公外面有了女人还怀孕8个月了，但他不和我离婚要双顾，我接受不了，该怎么办;你们结婚多久，有孩子吗，感情怎样？你的打算呢
女儿无法原谅父亲过去赌博的过错，大吵大闹了一架，如何解决父女冰冷的关系？;你是谁
女,33岁,梅子老师我现在真的难受啊。为什么调解不开自己呢？他还是哪个态度啊。;很多事情要看缘分。
女,我和男朋友分手。不管怎么挽回他都不回头。他找我分手的原因只是一件小事。;你们的年龄 认识多久了  你说的小事是什么事件呢
女,21岁,不知道的情况下做了别人的小三，生完宝宝才发现，对他很依赖该怎么办？;他可以离婚吗
我12岁爸爸妈妈总是因为房子和钱吵架，而且每次都吵的忒厉害，我该怎么办？？？;各位老师我该怎么办呢？
老婆出轨了，丈夫为了孩子和他妈妈选择不离婚，怎么样才能让夫妻感情重归于好？;老婆出轨了，丈夫为了孩子和他妈妈选择不离婚，怎么样才能让夫妻感情重归于好？
老公喜欢抱怨，什么都别人不好。天天抱怨。高兴也抱怨，不高兴就不说话。有治嘛;点击我的头像加关注，电话咨询
忘记一个人真的很难，时不时想起还很心痛。怎么样才能挽回感情呢？网恋可怕吗？;点击我的头像加关注
男,36岁,我和老婆结婚11年，最近她说我们性格不合要和我闹离婚。我不想离。怎么办;我们没有原则上的问题，她现在就是看到我很烦
很难入睡，做噩梦，觉得我一睡着就会被抛弃，感觉所有人都讨厌我，莫名的烦躁。;你多大了？焦虑很严重
不喜欢现在的工作，想放弃，却又怕别人说我没出息，遇到困难就放弃，好纠结啊，;不喜欢的原因事什么呢？
节食减肥瘦的过度，现在吃正常人三餐甚至更多但不吃零食，我好怕突然的肥怎么办;你今年多大了？
女,因婆子妈挑破逼迫离婚，两亲家大闹一场！已经搬回娘家！如何处理这样的问题！;你和你老公的感情到底怎么样呢？
您好！我曾被网络骗子骗光所有钱，之后就一紧张就尿频尿急，挺严重的，怎么办？;属于心理问题，需要心理调整，亲
男,找不到出路了，现状很糟糕，万分后悔辞职，换工作，来异地，木已成舟，遗憾啊;现在是怎样的情况呢？可以说说吗？
你好，我马上就要离婚了，我不想离，但我老公要起诉离婚，我有个5岁的儿子很可爱;老公已经准备好了起诉吗？
怎么老实失眠，睡不着哦！心里乱嘛嘛的，也不知道在想什么？容易突然从梦中惊醒;发生什么事了最近？
我发现我是Lithromantic怎么办ಥ_ಥ我该怎么克服这种心理啊  难道这辈子就注孤生了吗;谢谢你的信任！可以具体说一下你的情况吗？
我开始讨厌我的咨询师了，心里很难过，但是又不想更换了，该怎么办^O^。他是猪头;发生什么不愉快了呢？
十八至二十五岁的烦恼，大家可以在这里尽情发泄头脑，[注:心理咨询专家禁止入内];烦恼
26 我感觉自己话很少，但是心里又很想和别人沟通，但是我又不知道具体该怎么说。;那就慢慢的锻炼自己，先从自己熟悉的人开始，尝试主动交流说话
女,38岁,我总害怕楼下邻居找我算账，因为家里有日常活动的声音，我时刻在提心吊胆;家里有孩子吗？
女,46岁,我的狗狗昨天下午被车撞死了，女儿哭的一夜没合眼，没吃饭，我该怎么办？;孩子几岁了
您好，我想问一下 我爸爸现在脚掌肿痛。现在连路都走不了。。。。。。。。。。。;好的
男,我与她离婚四个月了她带着我们一岁的孩子可能去了另外一个男人里！她会回头吗;有机会。你们之间发生了什么矛盾。
男,觉得自己是个同性恋，要向父母坦白吗？可是又没有这个胆量，又怕伤到父母的心;你多大？
因为我有些时候不听父母的话，所以父母老拿棍子或者棒子殴打我，我真讨厌这种方式;你现在多大？
抑郁症怎么办？晨重晚轻，每天都很烦。我在这上面测的，是严重的类型。该怎么办？;以前诊断过吗？
女,明天要订婚，男方今天把三金要走，过后打电话说先不订，很伤心，把人当憨子耍？;有这样做的男人吗？
我和男朋友分手了，他脚踏两只船,我还是想挽回他，怎么挽回啊，他不爱我了，我爱他;你的年龄？
女,婆媳关系，和公婆在一起住了三年了，现在没过一年都是度日如年，不想和他们说话;和爱人关系怎样
女 你好！我是一名高中生，害怕与人交流，不能建立正常的人际关系，要怎么解决呢？;问题如果时间久了，就严重了，就需要点击头像联系专业正式咨询治疗。
女 我和老公离婚了，为了孩子又在一起，可是我对老公一点感情没有了。我该怎么办？;感情活着的…
女 男朋友父母觉得我家庭关系太复杂，不同意我们在一起，男朋友很为难，我该怎么办;你可以接纳现实吗？
女,各位老师新年快乐，虽然是个咨询平台但是也学到很多，祝老师们猴年大吉工作顺利;新年快乐！
身心都出轨两年的男人，为了孩子和父母的逼迫而选择不离婚，这样的婚姻能维持多久？;看看女主人的心态
后天就要入职了，终于走上社会了，对待未来一点信心也没有，不知道未来是什么样子？;有这种感觉是很正常的
失眠一年多，一整夜睡不着第二天依然精力旺盛，吃药针灸都无用，怎么办，有点想疯了;点击我的头像加关注，可以很好的帮助你解决失眠问题
你好我感觉对未来失去了信心最近一坐下就频繁想到死但是知道这是不对的但又忍不住去想;中午好
为什么男朋友和我分了还用我的照片当头像，以前为我发过的说说也不删，我家的群也不退;说明他爱我么？
想要和他和好，为什么这么难，他其实也想和我在一起，可是又怕在一次受伤，我怎么做嘛;我要怎么做
老公很多毛病，抽烟喝酒玩游戏都特别上瘾，我们老是吵架，心情天天都不好，我该怎么办;你对他有什么希望呢
上高中了，那些一开始跟我好的朋友现在都不喜欢了，在班里没有固定的朋友玩，我很伤心;现在感觉没有朋友很孤独是吗？
总是杞人忧天，担心自己或家人生病或有什么状况，很烦躁，很忧虑，应该如何调整？谢谢;你多大了？
男,最近失恋，本不爱的人，可是心多少有点留恋，男  22岁   觉得自己以后不会遇见爱了！;走了你不爱的人，才会找到你爱的人啊
女,33岁,90后小三不愿放手，我应不应该告诉她父母，她还有一个弟弟，会不会找我老公麻烦;要看看她那一家子是什么样的人喽
男,28岁,怎样可以从一段失败的感情中走出来。并且自己还患有重度焦虑症，病发躯体症状。;重度焦虑症是在哪里诊断的呢
心塞。有没有可以一起聊天的。。。。。。。。。。。。。。。。。。。。。。。。。。。;有
思春期，思想龌龊，但还是学生，还要高考，怎么办，不想变神经病，不想那么变态。∏_∏;思春是正常的，
酒醉后的不正行为代表真实的自己吗？？第二天什么都不记得…只有短暂的片段在脑子里…;酒精的作用下会使人失去理智，比较冲动
男 我喜欢我们班的班花了，我们从小就认识，我也喜欢她，但是现在分班了，我该怎么办。;你的年龄？
女 心里压抑和老公感觉不像是两口子哎是我要求太高还是给的爱不够我们结婚四年了是谈的;以前是没有房子现在有了可是没有爱了。
我老公毛礼魏跟前妻离婚后，我跟他结婚生子了，孩子没2岁，他跟前妻又生一个，算重婚吗;重婚！
男 分手了，跟她说话，她不理我，想挽回，她就说不喜欢我了，不让我再打扰她了。怎么办;几年的感情，分手的原因？
女,为什么我昨天给他发信息他现在都没回，虽然我们认识没几天，但是是他先对我有好感的;你们是刚认识的，还不是恋人关系？
女,离婚了，辛苦带大的孩子，不让我看，还说是他们家的，和我没关系，我到底怎么办才好;孩子多大了
父亲N次出轨，母亲天天伤心吵架，用了太多办法没有用，我应该怎么做才能让他们和睦相处;你很想替父母承担这个是吗
男,网上跟女孩子说暧昧的话女朋友不搭理我了她说原谅我了但却会用各种事情推脱跟我聊天;你多大？
女,我和他在一起认识一年了，可是在一起生活到结婚，还没一个月，我想离开，应该怎么办;嗯嗯，你好
我对现在的工作和生活状态不满意，因为收入的关系一直坚持着。入睡困难，醒后难再睡着。;能具体说一下吗？
一个女人是为儿女活，还是要为自己而活呢。还是不顾自己的幸福，而委曲求全做他们的奴仆;你真是个很伟大的妈妈
叔叔阿姨你好，我不知道怎么回事，上课不敢回答问题，有时候挺开心的然后突然就不开心了;点击我的头像加关注，专门研究解决学生心理问题，我可以帮助你解决！
我能就这样结束自己的生命么，什么都失败，没有活下去的动力了，活着就是丟人，被人说！;遇到什么事情了？
我老公老是抽烟喝酒，玩游戏还特别上瘾，每次一说他就得吵架，好累，不知道自己该怎么办;婚姻多久 各自年龄多大
男 我总是对感情该放的时候放不下，比如说遇上一段婚外情慢慢的就当真了，两边都放不下，;放不下的感情，一定是因为我们内心的需求没有得到满足，或者是我们性格上有一些缺失。
女 生完宝宝后感觉自己有抑郁症，易怒，经常和老公吵架，已经影响我的正常生活了，怎么办;改变自己，这种情况对谁都不好
还有两个星期就要期末考试了   想要考好点    想要熬夜这两个星期 但又怕第二天早上没精神;焦虑紧张，可以通过心理咨询来缓解平复
我在外地很少打电话回家，家里人说我，我很心酸，怎么办才好，和家里人又不晓得要说什么;多大了？
我偷了家里三次，爸爸对我绝望了不让我回家，现在我半年没回家了我该怎么办，我知道错了;回家不需要理由，不回家才需要理由
我原本是好学生，而这次考试成绩很差，有点辜负所有家长老师的希望，有点想不通，怎么办;老师请你帮帮忙，谢谢
小孩一岁但我老爱打她，拿她当做发泄的东西，我也不想做，但是忍不住，这样下去我会疯掉;这孩子也会疯掉的……
我谈了个男朋友是陕西的我老家安徽的，我给家人说了但我家人不同意觉得陕西太远该怎么办;你们感情怎样？
女 请问感觉社会环境不适应，莫名恐慌。害怕异性，怀疑自己有恐男症。心理痛苦怎么治？？;没有安全感，不够自信，你的情况是可以改变的
我问男友是不是真的不要我了，他回答是《我没说要你，也没说不要你》。这到底是怎么想的;你们之间发生什么事情了？
我老婆离家出走十几天说要离婚但又不出来人只能微信但是他又不回我信息我又不想离那么办;点头像关注我，电话咨询。
老师我是一个上进心及低的人好多事只说却做不到,怎么办?老师可以帮我制定一个学习方法吗?;先说说你现在的情况好吗？
女,怎么客服紧张心里，不敢上台说话，心里很紧张，别人看我做事也紧张，好多年了怎么办呀;你多大了？
女,生完孩子我觉得自己产后抑郁了，不想让公婆碰宝宝，总觉得会抢走我孩子，我该怎么办？;想做调整吗？
女 自制力很差怎么办，明明做了计划表，但就是做不到，过后过后又非常自责。每天惶恐不安;你多大？
女 当和喜欢的男的发生矛盾，对他说不会在打扰他 他却说该谢谢你 还是伤心呢 男的什么意思;吵架说的话不要太当真，问题是你们之间发生了什么矛盾？该如何理智地解决？
女 刚和男友分手，他主动找我分的，可我还是喜欢他，仍然想和他保持联系，我该怎么做呢？;分手的原因是什么？
男 我的脑海里总是要想到那些我不想想的东西，每次他一浮现我就会显得十分痛苦，怎么办。;可以具体说说吗？你不想要什么
女,50岁,老公冷暴力很久，他不想离婚，但也不对我好，对我像敌人，满肚子怨气，我该怎么办;发生过什么事情吗
你好我女儿每天晚上哭在他读书的时候被一条蛇下到到现在还是那样的哭请问一下该怎么办啊;这种情况有多长时间了？
毕业考试时候，和不熟的人都能聊的很好，可是上初中后有些事后。变得和别人不知道说什么;好像你心里很想和别人说些什么是吗
工作没有定位好.我是随便找个工作工资相对高点累点还是找个专业相关的不是那么好上手的呢;这就是职业无规划的状态了
男,29岁,总是怀疑自己的女朋友 无法控制自己 不去猜疑 试探 可能之前有过阴影 怎么办？？？;处理之前的阴影，
男 和老婆矛盾越来越多怎么办？老婆没工作，总要我陪着，总想着自由，不做事还总觉得无聊;结婚多久了？
男人20了没谈过对象还是处男 刚认识一个女的说不介意以前   他是想玩玩而已  还是真的不介意;男人20了没谈过对象还是处男 刚认识一个女的说不介意以前   他是想玩玩而已  还是真的不介意
随着青春期的到来，我感觉越来越控制不住自己的情绪，常常和父母发生冲突，我该怎么办啊！;是青春期的到来才冲动吗？以前也会冲动吗？
女 好吧。我睡不着。我爱生气。我有些事情就是忘不掉，反复想起。焦虑。心情一直很低落。;老师？你没睡?
男,我的女朋友对我不在乎 不把我当回事 处不处无所谓 经常有男人打电话 从来不让我碰她手机;你觉得她冷落你了，你们在一起多久了呢？
您好！我心里上可能有点儿偏激了，尤其对我对象，更是严重。您说，我是不是有点儿心里问题;我怕我自己太极端了，
为什么我男朋友老和我发脾气，喜欢挑我的毛病，有时候在别人看来那不是毛病他都和我发脾气;恩
脾气比较暴躁易怒怎么改掉这个坏毛病，每次都发火几分钟火气就消了。每次都这样。经常这样;脾气比较暴躁易怒怎么改掉这个坏毛病，每次都发火几分钟火气就消了。每次都这样。经常这样，如何控制，如何能改掉这个毛病。
我的气质很糟糕，很胆小，不太自信。做事很容易慌张。现在喜欢胡思乱想？很焦虑？怎么办？;多大了？
我跟男朋友在一起三年，我出轨了，但是我现在后悔了，我男朋友执意要分手怎么办，我不想分;你们处多久了？
女,女,老公对我很好，但就是不想要宝宝，说到这个问题他就躲避，他身体健康，对此我很费解;点击我的头像加关注，电话咨询
为什么我老婆起诉我离婚了，还要在跟我一个城市，这个城市离孩子远，当初为了我来这个城市;回答下问题好吗？谢谢！
第一天上班，就把那个会计惹不开心了好像，该怎么办，我是出纳，言多必失，我该怎么办？？;嗯
我的母亲没有出轨，而我的父亲硬说她出轨，并以此为理由天天打架，作为孩子的我该怎么办？;做好自己，
声乐考试和表演，过于紧张，试过很多方法都不管用，身体不听使唤的抖，声音也颤，怎么办？;试过放松疗法吗？
有抑郁症怎么办？快一年了，有点讨厌自己，看到自己和别人都烦，没有自信，每天都不开心！;请问你多大了
为什么我上课很想下课一直忍不住看时间？？很讨厌上晚自习？？我是一名高中生过着寄宿生活;能回答我的问题吗
我是男孩，15岁 喜欢上了另一个同龄男孩，我不知道什么时候开始喜欢的，请问我该怎么办？！;是怎样的喜欢呢？
女 我因为心理有点问题，看到别人拥有的，自己却不如意，有时还会伤害自己以求快感怎么办?;你多大？这样多久
女,我家里帮我介绍对象，我不喜欢，我自己找的他们又不喜欢，现在面临着在逼婚，我很无奈。;老师你好
女,怀孕了，有时情绪不好，老公动不动的就开骂，弄得心情很不好，甚至想过分开来解决这一切;女,怀孕了，有时情绪不好，老公动不动的就开骂，弄得心情很不好，甚至想过分开来解决这一切
我是一个女孩 性格直率 慢热 大方 不计较 很高冷很孤僻  有时候话很多有时候话很少求分析性格;你有多大了？
男 情感问题，我心里他见他和他在一起   心里特别不是滋味   我应该怎么做   才能减少心里压力;他是谁
女,21岁,前男友为什么结婚前进我空间看，是不小心点错了还是他在怀恋过去或者是对我还有感情;你如何看？
女,因为自己的任性经常和老公提离婚，现在他不想忍我了，自己提了离婚，该怎么办？我不想离;你们结婚多久了
女,我想挽回分手四个多月的男朋友，他已经把我所有联系方式拉黑并且很排斥我，还有机会吗？;为什么分手呢？
我女朋友她母亲嫌我花她女儿的钱了不让我跟她女儿来往了这是一个怎样的母亲我又该如何的做;我该怎么办
女,我去年喜欢的那个人前天请我吃了一次饭，在没联系，不知道什么意思，会和我再次相处不？;好像你心里有一个不确定感
女,我是一名学生，在学校受到别人嘲笑，和别人有了矛盾，还受到了欺负，心里好委屈，好伤心;你多大？受了什么委屈，愿意说说吗？
女 我总是因为一些很小的事就发很大的脾气对别人不会只会对我男朋友才会这样，是什么原因？;对男友有什么不满的地方吗？
如果女朋友向你提分手了，男孩子单膝下跪，然后和她说，我们在尝试20天左右，她才同意！！！;我们的恋爱是不停的吵架
女,我爱老公，可是我却出轨了，有原因，老公不原谅也不离婚，彼此折磨，有孩子，我该怎么办;做婚姻修复吧
我现在有男朋友，他特别爱我，我对他也有好感，可是我实在放不下前男友，我不知道该怎么办了;和前男友分开多久了
你好，我感觉有抑郁症，不敢做自己，没当我鼓起勇气做自己的时候感觉到不沉稳，会比较情绪化;这不可以说成是抑郁症
女,离婚一年了，现在为了孩子想回去，还能回去吗，问题是他在外边也找了对象，还没有结婚？;和他沟通过您的想法吗？
18岁进了一家公司，里面我最小，没有朋友。感觉自己上班很自卑。并且我想要开朗，想要朋友。;点击我的头像加关注，电话咨询
女, 老公出轨过一次，最近又发现和好几个女的有暧昧。只要他一不在我就疑神疑鬼的，怎么办？;你不信任他了
和前女友分手快半年  之间时不时有联系。最近联系就像回到了在一起的时候一样，怎么能挽回她;不是回到了那种热恋的感觉吗？
医生您好，我现在好爱哭，心情烦躁，有时候觉得生活好没意思，有点敏感，自卑，就是活的好烦;孩子，请问你是不是比较胆小自卑，敏感，非常在意别人的看法，很容易受到别人影响呢
孩子小学六年级，昨天她同学问她要寒假作业抄，她跟对方要了10元钱红包，这行为应该不应该？;点击我的头像加关注，电话咨询
女,和男朋友分手，因为我说他没上进心，整天就知道打游戏。我现在想跟他和好，我该怎么办？;美女
我女朋友 她性格有点高冷。跟她每次吵完架后 哄好了 但是她自己根本高兴不起来，我想请教专家;恩
你好:我刚对我喜欢的Mm表白她对我说了一句，她已经习惯一个人了，这是什么意思我该怎么回答。;加油
宝宝现在1岁4个月，我回娘家，老公问都不问，从来对我和宝宝都是可有可无的态度，怎么办啊？;你们之间的感情如何
感觉爸爸有些变态，跟他交流生活很有问题，他脾气很暴躁，二且有些暴力倾向，家里人都让着他;可以免费咨询吗
男,我女朋友为什么会有时候用(呵呵)这两个字，我看了感觉好像她在敷衍我，还是对我不厌烦啊？;她这样回应你的时候让你感觉不舒服是吗
女 和男朋友发生关系，一直没和家人说，家里人不小心看见了我们的聊天记录，我不知道该怎么办;你年龄多少
我怎么才能用一个手机充值，用另一个手机打咨询电话，打咨询电话这个手机用下载咱们平台吗？;好像不能，问问客服
您好，我母亲，有时心理过不去坎怎么办，时不时给我们弄一次惊吓，哭的很厉害，说不活了的话;你母亲需要你们多多关爱
